pose_id,x_nose,y_nose,z_nose,x_left_eye_inner,y_left_eye_inner,z_left_eye_inner,x_left_eye,y_left_eye,z_left_eye,x_left_eye_outer,y_left_eye_outer,z_left_eye_outer,x_right_eye_inner,y_right_eye_inner,z_right_eye_inner,x_right_eye,y_right_eye,z_right_eye,x_right_eye_outer,y_right_eye_outer,z_right_eye_outer,x_left_ear,y_left_ear,z_left_ear,x_right_ear,y_right_ear,z_right_ear,x_mouth_left,y_mouth_left,z_mouth_left,x_mouth_right,y_mouth_right,z_mouth_right,x_left_shoulder,y_left_shoulder,z_left_shoulder,x_right_shoulder,y_right_shoulder,z_right_shoulder,x_left_elbow,y_left_elbow,z_left_elbow,x_right_elbow,y_right_elbow,z_right_elbow,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,x_left_pinky_1,y_left_pinky_1,z_left_pinky_1,x_right_pinky_1,y_right_pinky_1,z_right_pinky_1,x_left_index_1,y_left_index_1,z_left_index_1,x_right_index_1,y_right_index_1,z_right_index_1,x_left_thumb_2,y_left_thumb_2,z_left_thumb_2,x_right_thumb_2,y_right_thumb_2,z_right_thumb_2,x_left_hip,y_left_hip,z_left_hip,x_right_hip,y_right_hip,z_right_hip,x_left_knee,y_left_knee,z_left_knee,x_right_knee,y_right_knee,z_right_knee,x_left_ankle,y_left_ankle,z_left_ankle,x_right_ankle,y_right_ankle,z_right_ankle,x_left_heel,y_left_heel,z_left_heel,x_right_heel,y_right_heel,z_right_heel,x_left_foot_index,y_left_foot_index,z_left_foot_index,x_right_foot_index,y_right_foot_index,z_right_foot_index
0,-0.18018197,-58.321682,-44.277084,-4.005665,-63.625217,-44.87625,-1.9503822,-63.606174,-44.723644,-2.3744953,-63.813248,-44.766155,-8.190092,-62.642525,-44.068542,-8.6721,-61.12271,-44.162556,-8.893295,-61.139294,-43.74466,-0.41341,-64.137054,-36.0291,-9.801514,-58.750504,-28.486513,-2.1460247,-53.294765,-41.59777,-7.9155717,-53.330357,-39.116367,8.140119,-40.99392,-23.527475,-8.161218,-39.033043,-22.373938,10.252677,-20.164574,-11.446619,-13.335376,-15.198248,-14.4552145,9.59472,-5.5951185,-12.762516,-11.573965,0.6152884,-19.854551,9.715364,4.019785,-14.239259,-11.753852,7.1465907,-21.926088,10.069918,1.2448359,-14.032566,-11.46097,7.755024,-22.714443,7.4504704,5.825382,-24.731266,-10.040989,6.1264358,-25.912874,4.7935367,1.8815773,-5.037961,-4.8529344,1.8951039,4.8258286,4.8715525,36.27616,51.56186,-0.68802106,39.685966,46.71768,4.508716,28.338228,56.459663,-0.4275573,36.62411,52.57816,6.354191,46.025654,49.871265,0.8896405,45.903473,40.58016,5.346631,46.81451,49.048916,1.4008462,45.83507,42.532455
1,-1.4479367,-58.197857,-44.854996,-3.6784024,-61.375446,-43.521652,-0.59324956,-63.350723,-44.197857,-3.4417262,-63.44045,-44.349552,-6.5987253,-61.350643,-43.558975,-6.414514,-62.200184,-41.24823,-8.955671,-61.33062,-43.521618,-0.9577161,-63.04923,-35.556572,-8.633891,-58.140045,-29.501932,-2.6369052,-53.616066,-40.82035,-7.2199545,-53.963505,-38.626633,8.136958,-41.343197,-24.284527,-8.710149,-38.836246,-24.329718,8.283545,-18.35001,-11.746883,-13.387909,-16.158482,-15.581655,10.593914,-5.64248,-11.986405,-11.636176,2.3951974,-18.01053,9.315995,2.8908527,-17.039782,-11.9281435,7.3412194,-22.23379,11.055953,2.302586,-13.878771,-10.661075,8.180544,-23.074894,9.487864,5.2699556,-25.49236,-11.141591,6.208153,-25.595497,5.0007615,0.7977139,-4.370738,-3.418652,0.4903573,4.751125,6.0388823,33.471684,51.06008,-0.030434906,34.36921,48.6327,3.6199837,28.671413,56.908615,-1.367887,35.050514,51.809975,6.6633496,45.036655,49.930153,-0.6475674,45.278324,41.34816,5.3210287,46.416164,51.687336,-1.483242,46.030624,41.24168
2,-0.045643225,-58.576485,-45.773933,-4.3150797,-62.952484,-43.689613,-2.7794256,-62.647854,-43.744087,-1.5206435,-64.10882,-43.03322,-6.247249,-61.535213,-42.84651,-6.5623074,-60.271313,-43.36069,-8.036398,-61.231503,-43.02429,-1.9471018,-62.122963,-34.73039,-9.934986,-59.61772,-28.53724,-0.9691403,-53.825928,-41.638607,-7.0930495,-51.89526,-38.15571,8.4541855,-41.289764,-24.72038,-8.819802,-37.854343,-21.839846,9.441589,-19.69025,-11.206261,-13.125462,-16.033241,-12.641196,9.521058,-3.334256,-12.489754,-9.398293,2.3960319,-20.561834,11.181547,2.9888668,-14.996847,-11.429221,8.012532,-21.347042,9.002185,2.4633467,-14.806875,-12.046885,5.578267,-22.9867,9.115604,5.8645663,-24.705082,-10.858247,5.6895432,-26.36291,4.5760193,1.8009609,-3.982029,-4.8125014,-0.37918368,5.0137825,3.9628227,34.06117,52.02482,-1.6219699,34.675602,48.150658,4.811817,27.834812,57.02931,-1.0777935,35.902676,52.330143,5.574583,47.710358,49.410347,0.4525186,46.54656,40.609676,6.3822737,45.468567,49.188255,0.14284398,46.405773,40.1343
3,0.5984777,-57.930904,-45.31037,-3.2291179,-61.678925,-43.74628,-3.557852,-63.24574,-45.38147,-2.2438896,-63.27524,-45.333427,-6.798473,-60.58332,-43.552685,-6.2558384,-61.511475,-41.697067,-8.93864,-61.771633,-42.74269,1.2981476,-63.079006,-35.961292,-9.715303,-59.09903,-28.599247,-2.2136505,-52.559322,-42.02976,-7.246897,-54.181705,-39.701553,7.5646753,-40.500034,-23.50572,-9.4247875,-39.53444,-23.424261,10.017361,-18.31621,-10.926668,-11.472003,-14.586328,-14.751187,10.085676,-5.2360663,-13.096062,-11.971886,1.7177739,-20.987576,9.737228,2.5782301,-14.876459,-12.425695,6.775343,-23.576721,11.311408,1.9506799,-14.2987585,-10.971826,5.564931,-22.462914,8.448431,5.181862,-24.904688,-10.709985,5.097172,-25.759258,4.469542,3.7473617,-4.253772,-3.7483082,1.8291388,4.4524503,6.045785,37.1529,50.378864,-0.13835096,37.342354,47.777706,1.7478454,30.355377,57.513184,-0.5716006,36.556347,51.457005,5.6713023,46.04535,49.402462,-0.98793584,46.423607,40.29928,5.8825016,45.942554,50.401527,0.53728735,45.18264,42.470325
4,0.14502677,-57.660233,-46.266735,-4.717309,-62.556286,-44.653355,-3.4601567,-62.416706,-44.592434,-0.5326872,-63.47669,-44.352688,-6.6560664,-59.380413,-43.91539,-8.136934,-60.74888,-42.88685,-9.173116,-60.38961,-43.309525,-0.14329772,-62.563835,-36.180153,-9.685367,-58.34865,-27.349016,-3.089982,-53.117058,-41.20496,-6.4709253,-53.275993,-40.080734,8.536474,-41.830658,-24.201904,-8.310815,-39.877853,-23.832373,10.737556,-19.085447,-11.193476,-11.185738,-15.963566,-13.208025,10.746612,-4.7369895,-12.148978,-11.461482,1.0040749,-19.67531,8.790688,3.8842993,-16.901485,-12.798772,5.58784,-21.058928,10.264619,1.3800151,-13.449627,-11.241006,7.690093,-22.960892,9.008242,7.958792,-25.298508,-9.385943,5.5345397,-25.219084,4.748242,0.7556605,-4.875785,-4.798386,0.1637182,4.6473694,4.899983,33.908043,52.88381,-0.6128893,34.51157,47.109844,5.0222373,28.509903,56.998188,-1.3429744,35.876,49.995716,5.5681987,46.011063,49.448593,-1.4591974,46.880093,40.966522,7.3124413,45.71423,49.76006,1.0623348,46.865807,43.031097
5,0.4830523,-58.66125,-46.746548,-4.600261,-61.968853,-44.926853,-2.5746708,-62.482437,-45.52037,-1.5503007,-63.83862,-43.2556,-6.464336,-61.22555,-42.617638,-8.352284,-60.899082,-42.89077,-8.139884,-59.78043,-43.60219,0.31516084,-62.99313,-36.60019,-8.969577,-58.322506,-28.440842,-4.10629,-54.273125,-40.60756,-7.2482004,-53.850178,-37.1148,8.525712,-40.887516,-23.952814,-10.751205,-38.549576,-23.464216,10.270443,-18.876446,-11.318939,-12.718015,-16.607872,-14.87036,10.01297,-5.994525,-13.232638,-11.617206,0.51318353,-19.85048,9.984421,3.0094264,-14.982336,-12.826572,7.4701705,-21.63086,10.094684,1.9189059,-13.671336,-11.562832,6.9160805,-21.59467,8.643472,4.2006197,-24.662275,-10.755587,6.885906,-24.684029,4.976701,-0.7074594,-4.2429686,-5.408652,0.10343605,4.824825,6.228771,33.55316,52.46129,-0.5408911,35.144684,46.355335,4.189505,27.444439,57.39655,-2.0368698,34.337147,50.721153,6.0466766,46.436623,48.35648,0.13083923,44.1084,41.69439,4.932046,46.37338,48.654163,1.4271466,46.63621,42.270836
6,-1.3614311,-58.36768,-43.46115,-4.271878,-64.02944,-43.468914,-2.986194,-64.09916,-43.810745,-2.1650956,-62.873318,-43.355938,-7.3553576,-61.42835,-45.01288,-7.182012,-62.524696,-44.31829,-8.90674,-61.787308,-43.454086,0.58714,-63.816578,-35.751736,-9.299689,-59.38976,-29.026045,-3.57368,-54.872032,-39.269432,-6.944982,-51.764996,-38.100197,8.389097,-39.856274,-24.321901,-9.454689,-39.09306,-22.961607,9.296244,-19.153524,-11.376953,-13.867303,-14.894779,-12.932657,10.210904,-5.151739,-14.468928,-10.802529,1.3547883,-20.40496,10.846468,3.210257,-15.1361475,-12.78155,7.026324,-21.966124,11.128219,0.6440648,-14.92494,-9.481184,5.5876274,-22.831305,8.521067,4.795526,-25.274435,-10.086404,5.991561,-25.42159,4.2212853,5.7471056,-4.6431937,-4.8205547,3.6475024,4.8391347,5.481515,38.402393,50.678795,0.12024963,38.499542,47.20071,3.8720083,31.666582,56.330357,-0.9605042,37.25732,50.12381,6.488433,46.575523,49.693428,-0.99809927,46.370453,40.9669,4.4851418,46.32267,51.390274,1.0920072,45.81548,40.041584
7,-0.45206246,-58.21089,-45.00608,-2.9282427,-63.023266,-44.658096,-4.6881247,-63.658424,-44.866817,-1.8051203,-63.146156,-43.96034,-5.963002,-61.55997,-42.249535,-7.424988,-60.387527,-41.803795,-8.857899,-61.30195,-43.33689,-0.97424614,-64.76134,-35.80683,-9.375478,-59.07168,-28.871002,-3.847565,-55.36111,-40.442497,-6.006436,-51.592834,-40.08898,9.712768,-40.491062,-23.237925,-8.891162,-40.180973,-23.847334,9.55562,-18.941414,-10.671038,-12.107544,-16.002697,-13.603939,8.417784,-5.103123,-12.552637,-11.142641,2.3716168,-18.443653,10.270166,2.2529309,-15.5333805,-10.754824,6.504188,-21.08832,9.791835,1.4965389,-15.845783,-10.185102,7.5798,-23.2713,8.872862,6.643748,-24.144611,-10.515708,6.8713107,-26.541481,6.829765,0.9973556,-3.6940722,-5.5920825,1.6306499,5.6971273,2.5301092,34.290527,50.801323,-0.89657605,34.946068,48.12264,3.3066468,29.337034,57.755352,-0.21556282,34.959675,51.632298,5.4111276,46.490585,50.180786,-0.12854888,45.64231,40.562927,5.46018,46.400948,50.11052,-1.2503914,44.409332,42.624134
8,-0.28557065,-60.04705,-45.600765,-4.4401484,-63.221176,-42.64438,-3.7382703,-62.85032,-43.163525,-3.0233335,-64.55867,-44.022915,-8.060001,-59.615356,-41.80456,-7.993437,-61.65896,-42.416546,-9.731345,-61.997852,-42.71379,-1.3236442,-62.349133,-36.948418,-9.290919,-59.397373,-29.694881,-3.278199,-55.048203,-41.534424,-8.480586,-53.61991,-38.460617,7.9168124,-41.650795,-24.561098,-9.391123,-39.56526,-24.485775,9.765228,-19.019516,-10.505446,-11.353172,-16.426975,-13.527708,9.341884,-4.413719,-13.092431,-10.897073,1.9858553,-20.82271,9.846979,2.7832158,-15.329084,-12.381039,7.4875154,-22.639162,10.228381,1.0695331,-14.99095,-11.031671,8.148234,-21.44744,8.466638,6.0590463,-25.492846,-9.879451,6.155393,-25.090467,5.73528,0.14069338,-4.2582426,-5.8399982,0.6588086,3.837269,4.947073,33.744564,51.226223,-1.1608921,34.017517,46.47174,3.4681036,27.447622,56.286827,-1.3227371,34.94066,51.77162,5.440632,45.342552,50.507774,-1.8389336,45.781494,39.754196,5.777585,45.35023,48.56259,-0.45223436,46.504913,41.563538
9,0.7122112,-58.329243,-44.60066,-2.5325742,-63.30156,-43.228176,-2.0811517,-62.529716,-43.651176,-1.4294233,-64.14787,-44.675198,-6.95048,-61.67829,-42.833294,-9.325763,-60.833645,-44.376232,-9.465071,-61.30771,-43.681614,0.5869989,-63.301666,-34.348015,-9.56281,-58.56071,-29.050623,-1.6757722,-53.856266,-41.472065,-7.4166126,-54.075344,-38.875763,8.883898,-41.724186,-23.592293,-9.859948,-39.64362,-23.223639,8.865687,-20.41115,-10.9717245,-11.867164,-15.707127,-14.10138,11.906102,-6.5193567,-13.15445,-11.4019785,0.7786232,-20.07217,9.600747,2.413655,-16.819254,-11.52034,7.2969236,-21.327087,11.383316,1.7703646,-13.823286,-10.501154,8.750239,-21.637463,8.054574,5.099387,-24.315329,-10.818163,6.5337715,-26.553524,5.567792,0.06421574,-3.939289,-5.1269336,1.0729092,4.6184235,5.536143,33.46874,52.902733,-1.5948778,34.778187,47.053684,3.3766465,27.022873,56.714916,-1.5615759,33.943295,50.903416,6.182979,47.337147,49.650852,-0.05914261,45.158955,40.75704,6.2227354,47.427006,51.28362,1.5419403,45.25935,41.470745
